ID,Label
0,1
1,9
2,0
3,1
4,0
5,0
6,8
7,2
8,9
9,2
10,8
11,9
12,9
13,8
14,8
15,8
16,3
17,0
18,9
19,8
20,7
21,9
22,8
23,8
24,1
25,9
26,2
27,8
28,8
29,9
30,1
31,1
32,9
33,1
34,0
35,1
36,8
37,8
38,0
39,9
40,9
41,8
42,8
43,1
44,1
45,9
46,8
47,8
48,8
49,2
50,2
51,1
52,9
53,0
54,0
55,9
56,9
57,0
58,0
59,1
60,0
61,1
62,8
63,8
64,8
65,2
66,8
67,1
68,7
69,1
70,3
71,8
72,1
73,3
74,9
75,1
76,1
77,8
78,0
79,8
80,0
81,8
82,8
83,2
84,8
85,8
86,1
87,0
88,0
89,9
90,7
91,1
92,2
93,1
94,1
95,8
96,8
97,8
98,2
99,8
100,1
101,3
102,1
103,0
104,0
105,8
106,8
107,1
108,8
109,1
110,0
111,9
112,1
113,0
114,3
115,9
116,0
117,8
118,8
119,1
120,1
121,0
122,8
123,0
124,1
125,0
126,1
127,9
128,1
129,8
130,9
131,1
132,2
133,0
134,9
135,8
136,9
137,0
138,3
139,8
140,3
141,0
142,1
143,9
144,1
145,8
146,0
147,9
148,0
149,2
150,8
151,0
152,9
153,8
154,9
155,1
156,9
157,9
158,0
159,1
160,1
161,1
162,1
163,8
164,9
165,8
166,8
167,8
168,0
169,1
170,9
171,0
172,0
173,9
174,1
175,0
176,2
177,8
178,1
179,9
180,0
181,8
182,8
183,1
184,0
185,8
186,8
187,2
188,2
189,8
190,9
191,0
192,0
193,8
194,0
195,0
196,8
197,0
198,2
199,9
200,9
201,9
202,0
203,1
204,9
205,8
206,8
207,0
208,9
209,1
210,1
211,0
212,0
213,0
214,0
215,8
216,9
217,8
218,7
219,8
220,8
221,0
222,8
223,8
224,1
225,0
226,8
227,9
228,0
229,2
230,0
231,3
232,1
233,8
234,9
235,0
236,9
237,8
238,9
239,2
240,9
241,8
242,1
243,0
244,1
245,0
246,8
247,8
248,9
249,0
250,2
251,8
252,8
253,9
254,0
255,0
256,8
257,1
258,9
259,8
260,0
261,1
262,7
263,9
264,9
265,9
266,0
267,0
268,8
269,1
270,0
271,2
272,7
273,0
274,0
275,8
276,8
277,8
278,9
279,1
280,1
281,1
282,8
283,9
284,1
285,8
286,8
287,2
288,9
289,1
290,0
291,9
292,8
293,9
294,1
295,9
296,2
297,0
298,8
299,8
300,9
301,0
302,1
303,8
304,0
305,0
306,0
307,0
308,1
309,9
310,7
311,9
312,8
313,1
314,8
315,0
316,0
317,8
318,1
319,8
320,8
321,0
322,1
323,1
324,1
325,8
326,0
327,9
328,8
329,9
330,9
331,8
332,8
333,8
334,7
335,0
336,8
337,8
338,9
339,8
340,9
341,8
342,8
343,1
344,8
345,1
346,0
347,8
348,0
349,9
350,1
351,0
352,9
353,1
354,0
355,0
356,9
357,1
358,9
359,8
360,8
361,9
362,8
363,9
364,8
365,9
366,9
367,8
368,8
369,1
370,8
371,0
372,8
373,9
374,8
375,3
376,1
377,0
378,1
379,8
380,4
381,1
382,8
383,8
384,8
385,8
386,9
387,0
388,1
389,8
390,8
391,8
392,9
393,0
394,8
395,0
396,8
397,8
398,0
399,8
400,9
401,8
402,0
403,1
404,8
405,2
406,1
407,8
408,0
409,8
410,1
411,5
412,1
413,8
414,7
415,3
416,0
417,8
418,8
419,8
420,0
421,1
422,1
423,0
424,8
425,8
426,1
427,3
428,1
429,8
430,0
431,3
432,9
433,8
434,8
435,0
436,2
437,8
438,3
439,1
440,9
441,1
442,0
443,2
444,0
445,9
446,8
447,3
448,0
449,8
450,1
451,1
452,8
453,1
454,8
455,1
456,9
457,8
458,0
459,8
460,9
461,1
462,8
463,1
464,9
465,9
466,1
467,0
468,0
469,9
470,1
471,8
472,1
473,1
474,8
475,9
476,8
477,8
478,9
479,8
480,9
481,9
482,0
483,1
484,2
485,8
486,9
487,8
488,3
489,7
490,8
491,8
492,9
493,0
494,9
495,0
496,9
497,1
498,1
499,9
500,0
501,1
502,0
503,1
504,1
505,7
506,1
507,8
508,9
509,1
510,1
511,0
512,9
513,9
514,0
515,0
516,8
517,9
518,9
519,2
520,0
521,1
522,7
523,9
524,9
525,9
526,8
527,8
528,0
529,9
530,8
531,9
532,8
533,0
534,8
535,8
536,8
537,0
538,9
539,8
540,4
541,8
542,8
543,0
544,8
545,0
546,9
547,7
548,9
549,7
550,8
551,2
552,1
553,0
554,0
555,0
556,0
557,8
558,9
559,8
560,8
561,8
562,9
563,8
564,8
565,1
566,8
567,0
568,1
569,8
570,8
571,0
572,8
573,1
574,9
575,8
576,9
577,1
578,0
579,0
580,1
581,2
582,8
583,9
584,8
585,8
586,9
587,8
588,9
589,8
590,3
591,1
592,9
593,1
594,0
595,9
596,8
597,1
598,8
599,2
600,1
601,0
602,1
603,9
604,8
605,2
606,8
607,0
608,8
609,0
610,1
611,3
612,0
613,3
614,9
615,8
616,0
617,8
618,0
619,9
620,0
621,1
622,7
623,8
624,0
625,8
626,1
627,8
628,9
629,8
630,0
631,0
632,9
633,9
634,1
635,3
636,8
637,1
638,0
639,7
640,1
641,2
642,8
643,1
644,0
645,0
646,9
647,8
648,0
649,0
650,8
651,9
652,9
653,8
654,1
655,0
656,8
657,1
658,8
659,2
660,8
661,0
662,9
663,0
664,8
665,3
666,8
667,3
668,1
669,2
670,0
671,8
672,9
673,1
674,9
675,2
676,8
677,0
678,9
679,2
680,1
681,8
682,9
683,0
684,1
685,8
686,0
687,9
688,8
689,8
690,1
691,0
692,0
693,8
694,8
695,9
696,9
697,0
698,8
699,1
700,8
701,8
702,8
703,8
704,1
705,1
706,9
707,8
708,0
709,0
710,0
711,1
712,8
713,8
714,8
715,8
716,8
717,0
718,9
719,0
720,9
721,1
722,8
723,0
724,8
725,9
726,8
727,8
728,4
729,0
730,1
731,8
732,9
733,9
734,8
735,1
736,0
737,8
738,8
739,8
740,9
741,0
742,1
743,9
744,9
745,0
746,1
747,9
748,3
749,8
750,8
751,8
752,8
753,8
754,9
755,0
756,9
757,8
758,8
759,0
760,8
761,0
762,9
763,0
764,8
765,9
766,8
767,1
768,0
769,0
770,0
771,0
772,9
773,9
774,1
775,0
776,1
777,8
778,1
779,0
780,1
781,8
782,0
783,0
784,0
785,8
786,0
787,9
788,8
789,1
790,2
791,0
792,9
793,8
794,9
795,0
796,9
797,9
798,2
799,0
800,8
801,9
802,0
803,0
804,2
805,0
806,1
807,9
808,8
809,9
810,0
811,8
812,1
813,9
814,1
815,1
816,0
817,0
818,1
819,9
820,8
821,8
822,9
823,8
824,1
825,8
826,8
827,9
828,8
829,0
830,0
831,8
832,0
833,1
834,2
835,2
836,8
837,8
838,9
839,1
840,9
841,8
842,8
843,9
844,0
845,9
846,0
847,9
848,1
849,8
850,0
851,8
852,0
853,1
854,8
855,1
856,8
857,0
858,8
859,8
860,8
861,9
862,1
863,0
864,8
865,9
866,1
867,1
868,0
869,8
870,0
871,9
872,0
873,3
874,8
875,8
876,8
877,1
878,0
879,3
880,1
881,8
882,8
883,9
884,2
885,0
886,0
887,8
888,9
889,1
890,1
891,9
892,1
893,9
894,0
895,3
896,9
897,0
898,8
899,8
900,9
901,9
902,0
903,9
904,1
905,0
906,8
907,9
908,2
909,4
910,2
911,0
912,2
913,0
914,8
915,8
916,3
917,1
918,0
919,1
920,1
921,8
922,8
923,9
924,0
925,9
926,8
927,1
928,0
929,0
930,8
931,9
932,1
933,8
934,8
935,8
936,0
937,2
938,8
939,9
940,0
941,1
942,1
943,8
944,1
945,8
946,1
947,9
948,0
949,0
950,9
951,9
952,1
953,0
954,3
955,8
956,1
957,0
958,3
959,2
960,8
961,1
962,9
963,8
964,9
965,3
966,9
967,8
968,9
969,0
970,0
971,8
972,8
973,1
974,1
975,1
976,0
977,8
978,9
979,9
980,0
981,0
982,8
983,2
984,8
985,0
986,1
987,8
988,0
989,8
990,2
991,3
992,0
993,9
994,8
995,0
996,9
997,1
998,9
999,0
1000,0
1001,6
1002,1
1003,1
1004,2
1005,9
1006,0
1007,2
1008,2
1009,7
1010,2
1011,0
1012,1
1013,0
1014,6
1015,6
1016,7
1017,0
1018,0
1019,0
1020,9
1021,6
1022,3
1023,7
1024,2
1025,0
1026,7
1027,6
1028,2
1029,2
1030,2
1031,0
1032,2
1033,7
1034,9
1035,0
1036,9
1037,0
1038,9
1039,1
1040,2
1041,0
1042,0
1043,9
1044,0
1045,0
1046,3
1047,2
1048,9
1049,8
1050,2
1051,3
1052,7
1053,0
1054,7
1055,0
1056,9
1057,0
1058,9
1059,9
1060,6
1061,6
1062,0
1063,6
1064,0
1065,1
1066,2
1067,1
1068,0
1069,9
1070,9
1071,2
1072,0
1073,3
1074,0
1075,6
1076,9
1077,2
1078,1
1079,9
1080,2
1081,8
1082,1
1083,4
1084,0
1085,1
1086,0
1087,0
1088,8
1089,0
1090,7
1091,2
1092,2
1093,0
1094,0
1095,0
1096,0
1097,2
1098,9
1099,7
1100,3
1101,2
1102,9
1103,2
1104,3
1105,0
1106,9
1107,9
1108,9
1109,1
1110,2
1111,0
1112,3
1113,0
1114,0
1115,2
1116,9
1117,1
1118,0
1119,2
1120,0
1121,9
1122,9
1123,8
1124,4
1125,6
1126,9
1127,2
1128,1
1129,3
1130,4
1131,0
1132,1
1133,8
1134,9
1135,2
1136,9
1137,9
1138,0
1139,9
1140,9
1141,6
1142,2
1143,0
1144,9
1145,2
1146,2
1147,9
1148,2
1149,0
1150,3
1151,1
1152,1
1153,0
1154,0
1155,0
1156,9
1157,9
1158,0
1159,0
1160,7
1161,3
1162,2
1163,3
1164,9
1165,0
1166,2
1167,0
1168,2
1169,2
1170,7
1171,6
1172,9
1173,9
1174,0
1175,2
1176,6
1177,0
1178,8
1179,8
1180,9
1181,8
1182,1
1183,0
1184,2
1185,2
1186,9
1187,2
1188,7
1189,0
1190,3
1191,0
1192,9
1193,4
1194,0
1195,2
1196,2
1197,2
1198,0
1199,2
1200,6
1201,2
1202,1
1203,2
1204,7
1205,1
1206,7
1207,9
1208,2
1209,9
1210,0
1211,2
1212,8
1213,2
1214,2
1215,2
1216,9
1217,8
1218,1
1219,0
1220,5
1221,2
1222,2
1223,9
1224,4
1225,2
1226,6
1227,7
1228,9
1229,3
1230,3
1231,2
1232,7
1233,6
1234,0
1235,2
1236,0
1237,2
1238,0
1239,9
1240,2
1241,2
1242,0
1243,0
1244,2
1245,4
1246,1
1247,3
1248,8
1249,4
1250,0
1251,2
1252,2
1253,9
1254,2
1255,6
1256,2
1257,7
1258,9
1259,9
1260,9
1261,3
1262,0
1263,7
1264,9
1265,2
1266,0
1267,0
1268,7
1269,0
1270,3
1271,2
1272,9
1273,2
1274,0
1275,0
1276,8
1277,0
1278,2
1279,6
1280,2
1281,0
1282,3
1283,2
1284,2
1285,1
1286,4
1287,3
1288,9
1289,3
1290,9
1291,6
1292,7
1293,2
1294,9
1295,2
1296,9
1297,0
1298,9
1299,8
1300,0
1301,0
1302,2
1303,2
1304,9
1305,2
1306,0
1307,3
1308,2
1309,9
1310,1
1311,0
1312,8
1313,2
1314,2
1315,9
1316,2
1317,0
1318,2
1319,2
1320,9
1321,0
1322,3
1323,2
1324,0
1325,7
1326,8
1327,0
1328,1
1329,3
1330,9
1331,0
1332,0
1333,0
1334,2
1335,0
1336,2
1337,2
1338,2
1339,0
1340,6
1341,9
1342,2
1343,9
